,"Plan ahead, get your 2025/2026 dance schedule to Jo (Joheigele@gmail.com) or 1984 198th Place, Bussey, IA 50044",,,,,,,,,,,
,,,,,,,,,,,,
,WEDNESDAY,,01 OCTOBER,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr. E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
SW,Clarinda Circle 8,MP,"1st Christian Church, 301 N 16th St, Clarinda",Call Ahead,7:00 - 9:30 ,,,,,,,
,THURSDAY,,02 OCTOBER,,,,,,,,,
QC,Acey Duceys,A2,"Edwards Congregational United Church of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 8:30,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd Street, Davenport",Don & Doug Sprosty,7:00 - 9:30 Baked Potato Bar,,,,,,,
,FRIDAY,,03 OCTOBER,,,,,,,,,
NE,Circulators,MPR,"Cedar Falls Rec Center, 110 E 13th Street",Gary Smith,2:00 - 4:30 Freaky Friday,,,,,,,
SE,Dudes 'n' Dolls,MP,"1st Presbyterian Church, 228 W. 4th St., Ottumwa",Romney Tannehille,7:00 - 9:30,,,,,,,
,SATURDAY,,04 OCTOBER,,,,,,,,,
SE,Lads & Lassies,MP,"IA State University Extension, 210 N Iowa, Knoxville",Dave Roush,7:00 - 9;30 Pajama Dance,,,,,,,
,SUNDAY,,05 OCTOBER,,,,,,,,,
SW,Union Squares,MP,"Crest City Lodge, 217 N. Pine, St., Creston",Barry Peck,2:00 - 4:30,,,,,,,
,MONDAY,,06 OCTOBER,,,,,,,,,
,TUESDAY,,07 OCTOBER,,,,,,,,,
QC,Merry Rounders,Rds,"Edwards Congregational United Church of Christ, 3420 Jersey Ridge Rd, Davenport",Jim & Linda Kuhle,7:00 - 9:00,,,,,,,
SE,Circle Square B Promenaders,M,"IOOF Hall, Wever",Tom Manning,6:30 - 9:30,,,,,,,
,WEDNESDAY,,08 OCTOBER,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr. E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,09 OCTOBER,,,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd Street, Davenport",Mike Johnson,7:00 - 9:30,,,,,,,
,FRIDAY,,10 OCTOBER,,,,,,,,,
,Triple G's,MPR,"Gilbert Elementary School Gym, 109 Rothmoor Dr",Bryan Bush/Ed & Pat Schneiders,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,,,,
SE,Petticoats Junction,MP,"Humeston Community Center, 100 N Eaton, Humeston",Barry Peck/Carla Peck,7:00 - 9:30,,,,,,,
,SATURDAY,,11 OCTOBER,,,,,,,,,
,Ankeny Squares,,"St. Paul Lutheran Church, 1100 SE Sharon, Ankeny",Kennard Swift/Carla Peck,7:00 - 9:30,ankeny_logo.jpg,"42.5234,-92.4416",ankeny.txt,,,,
,SUNDAY,,12 OCTOBER,,,,,,,,,
EC,Rapid Eights,MP,"Monticello, Iowa",Camp Courageous,1:30 - 4:00,,,,,,,
NE,Stardusters,MPR,"Monticello, Iowa",Camp Courageous,1:30 - 4:00,,,,,,,
,MONDAY,,13 OCTOBER,,,,,,,,,
,TUESDAY,,14 OCTOBER,,,,,,,,,
QC,Merry Rounders,Rds,"Edwards Congregational United Church of Christ, 3420 Jersey Ridge Rd, Davenport",Jim & Linda Kuhle,7:00 - 9:00,,,,,,,
SE,Circle Square B Promenaders,M,"IOOF Hall, Wever",Tom Manning,6:30 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,15 OCTOBER,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr. E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
SW,Clarinda Circle 8,MP,"1st Christian Church, 301 N 16th St, Clarinda",Call Ahead,7:00 - 9:30 ,,,,,,,
,THURSDAY,,16 OCTOBER,,,,,,,,,
QC,Acey Duceys,A2,"Edwards Congregational United Church of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 8:30,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd Street, Davenport",Don & Doug Sprosty,7:00 - 9:30 Sports Night,,,,,,,
,FRIDAY,,17 OCTOBER,,,,,,,,,
QC,Wheel N Steppers,MPR,"Edwards Congregational United Church of Christ, 3420 Jersey Ridge Rd, Davenport",Don Seaman,7:00 - 9:00,,"41.5550615,-90.5455025",EdwardsChurch.txt,,,,
,SATURDAY,,18 OCTOBER,,,,,,,,,
SE,Lads & Lassies,,"IA State University Extension, 210 N Iowa, Knoxville",Ia State Callers/Cuers,7:00 - 9:30 Halloween Dance,,,,,,,
,SUNDAY,,19 OCTOBER,,,,,,,,,
QC,Morrison Grand Squares,MP,"Odell Library Community Room,307 S Madison,Morrison,IL  ",Mike Hogan,2:00 - 4:30,,,,,,,
SW,Union Squares,MP,"Crest City Lodge, 217 N. Pine, St., Creston",,2:00 - 4:30,,,,,,,
,MONDAY,,20 OCTOBER,,,,,,,,,
,TUESDAY,,21 OCTOBER,,,,,,,,,
