date,club,caller,cuer,remarks,start,end,caller,cuer,price,levels
2025-12-13,ankenysquares.jpg,DougMcCart.webp,JCM.webp,,,,,,,MPL
2026-01-17,ankenysquares.jpg,,,ISCCIA Dance,,,(many callers),,,
2026-01-31,ankenysquares_DSM.jpg,DougMcCart.webp,JCM.webp,,,,,,,
2026-02-28,ankenysquares_DSM.jpg,DougMcCart.webp,Schneiders.jpg,,,,,,,
2026-03-14,ankenysquares.jpg,JimWilliams.webp,JCM.webp,,,,,,,
2026-03-20,,,,State Convention,,,,,,
2026-03-21,,,,State Convention,,,,,,
2026-03-29,ankenysquares.jpg,Dan-Sahlstrom.webp,,Anniversary Dance!,02:00 PM,05:00 PM,,,,
2026-04-25,ankenysquares_DSM.jpg,DougMcCart.webp,JCM.webp,Graduation,,,,,,
2026-04-26,ankenysquares_DSM.jpg,DougMcCart.webp,,Doug’s + ,,,,,,P
2026-05-09,ankenysquares.jpg,,CarlaPeck.jpg,,,,,,,
2026-07-11,ankenysquares.jpg,GarySmith.jpg,Schneiders.jpg,,,,,,,
2026-07-18,ankenysquares.jpg,,,ISCCIA Dance,,,(many callers),(many cuers),,
2026-08-01,ankenysquares.jpg,JimWilliams.webp,Schneiders.jpg,,,,,,,
2026-08-22,ankenysquares.jpg,hogan.jpg,hogan.jpg,,,,,,,
2026-09-26,ankenysquares.jpg,GarySmith.jpg,JCM.webp,,,,,,,
2026-10-10,ankenysquares.jpg,manning.jpg,Schneiders.jpg,,,,,,,
2026-10-17,LadsNLassies.jpg,,,ISCCIA Dance,,,(many callers),(many cuers),,
2026-10-24,ankenysquares.jpg,KenardSwift.jpg,AmySwift.jpg,,,,,,,
2026-11-14,ankenysquares_DSM.jpg,sprosty.jpg,,,,,,,,
2026-12-12,ankenysquares.jpg,DougMcCart.webp,JCM.webp,,,,,,,
2026-02-07,LadsNLassies.jpg,DougMcCart.webp,,Sweetheart Dance,,,,,,
2026-02-21,LadsNLassies.jpg,ChuckVeldhuizen.jpg,,,,,,,,
2026-03-07,LadsNLassies.jpg,DaveRoush.jpg,,St. Patrick’s Day,,,,,,
2026-04-04,LadsNLassies.jpg,DonBoyer.jpg,,Easter Bonnet,,,,,,
2026-05-03,LadsNLassies.jpg,,,Beach Party!,02:00 PM,04:40 PM,Brad Neutz,,,
2026-05-16,LadsNLassies.jpg,ConnieGraham.jpg,,Pie & Ice Cream,,,,,,
2026-06-06,LadsNLassies.jpg,jesseMillspaugh.jpg,,PJ Dance,,,,,,
2026-07-11,LadsNLassies.jpg,weaklend.jpg,,,,,,,,
2026-08-29,LadsNLassies.jpg,KenardSwift.jpg,,Potluck & Dance,06:00 PM,,,,,
2026-09-05,LadsNLassies.jpg,BarryJohnson.jpg,,Favorite School Colors,,,,,,
2026-09-19,LadsNLassies.jpg,BarryPeck.jpg,,,,,,,,
2026-10-03,LadsNLassies.jpg,DaveRoush.jpg,,,,,,,,
2026-11-07,LadsNLassies.jpg,manning.jpg,,,,,,,,
2026-11-21,LadsNLassies.jpg,MINK_Ladies.jpg,,,,,,,,
2026-12-05,LadsNLassies.jpg,DougMcCart.webp,,Brian&Cindy Anniversary,,,,,FREE,
2026-12-19,LadsNLassies.jpg,Trowbridge.jpg,,Christmas Dance,,,,,,
2026-03-27,Rapid8s.jpeg,JimWilliams.webp,,Just For Laughs,,,,,,
2026-04-24,Rapid8s.jpeg,JimWilliams.webp,,Pirates Party,,,,,,
2026-05-22,Rapid8s.jpeg,JimWilliams.webp,,Blooms & Butterflies,,,,,,
2026-06-26,Rapid8s.jpeg,GarySmith.jpg,,Stars & Stripes Forever,,,,,,
2026-07-31,Rapid8s.jpeg,DougMcCart.webp,,"Mild, Mild West",,,,,,
2026-08-28,Rapid8s.jpeg,JimWilliams.webp,,Trivia Time,,,,,,
2026-09-25,Rapid8s.jpeg,GarySmith.jpg,,Teepees and Tomahawks,,,,,,
2026-10-23,Rapid8s.jpeg,JimWilliams.webp,,Falling Leaves,,,,,,
2026-11-20,Rapid8s.jpeg,GarySmith.jpg,,Thanksgiving Potluck / Dance,01:00 PM,03:30 PM,,,,
2026-12-18,Rapid8s.jpeg,JimWilliams.webp,,Santa’s Socks,,,,,,
2026-04-03,circulators.png,GarySmith.jpg,,Peanut Butter & Jelly Day,,,,,,
2026-05-01,circulators.png,GarySmith.jpg,,Kentucky Derby,,,,,,
2026-03-14,stardusters.jpg,DougMcCart.webp,,St Patrick’s Dance,,,,,,
2026-04-18,stardusters.jpg,manning.jpg,,Salad Night,,,,,,
2026-05-09,stardusters.jpg,GarySmith.jpg,,"Singing, Dancers’ Choice",,,,,,
2026-06-13,stardusters.jpg,GarySmith.jpg,,Strawberry Night,,,,,,
2026-07-18,stardusters.jpg,GarySmith.jpg,,Ice Cream Night,,,,,,
2026-08-08,stardusters.jpg,GarySmith.jpg,,,,,,,,
2026-03-26,AceyDuceys.png,manning.jpg,,,,,,,,
2026-04-09,AceyDuceys.png,manning.jpg,,,,,,,,
2026-04-23,AceyDuceys.png,manning.jpg,,,,,,,,
2026-05-14,AceyDuceys.png,manning.jpg,,,,,,,,
2026-05-28,AceyDuceys.png,manning.jpg,,,,,,,,
2026-06-04,AceyDuceys.png,manning.jpg,,,,,,,,
2026-06-18,AceyDuceys.png,manning.jpg,,,,,,,,
2026-07-09,AceyDuceys.png,manning.jpg,,,,,,,,
2026-07-30,AceyDuceys.png,manning.jpg,,,,,,,,
2026-08-20,AceyDuceys.png,manning.jpg,,,,,,,,
2026-08-27,AceyDuceys.png,manning.jpg,,,,,,,,
2026-09-10,AceyDuceys.png,manning.jpg,,,,,,,,
2026-09-24,AceyDuceys.png,manning.jpg,,,,,,,,
2026-10-08,AceyDuceys.png,manning.jpg,,,,,,,,
2026-10-22,AceyDuceys.png,manning.jpg,,,,,,,,
2026-11-05,AceyDuceys.png,manning.jpg,,,,,,,,
2026-11-19,AceyDuceys.png,manning.jpg,,,,,,,,
2026-12-03,AceyDuceys.png,manning.jpg,,,,,,,,
2026-12-17,AceyDuceys.png,manning.jpg,,,,,,,,
2026-04-03,WheelSteppers.jpg,DonSeaman.jpg,,,,,,,,
2026-05-01,WheelSteppers.jpg,DougMcCart.webp,,,,,,,,
2026-06-19,WheelSteppers.jpg,GarySmith.jpg,,,,,,,,
2026-07-17,WheelSteppers.jpg,GarySmith.jpg,,,,,,,,
2026-08-21,WheelSteppers.jpg,ConnieGraham.jpg,,,,,,,,
2026-09-11,WheelSteppers.jpg,manning.jpg,,Anniversary Dance!,,,,,,
2026-10-02,WheelSteppers.jpg,DonSeaman.jpg,,,,,,,,
2026-11-06,WheelSteppers.jpg,sprosty.jpg,,,,,,,,
2026-12-04,WheelSteppers.jpg,DougMcCart.webp,Kuhle.jpg,Christmas Dance,,,,,,
2026-03-19,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-03-29,solosteppers.png,DougMcCart.webp,DougSprosty.jpg,,,,,,,MP
2026-04-09,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Western Barbecue,,,,,,
2026-04-16,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Popcorn Night,,,,,,
2026-04-23,solosteppers.png,BarryPeck.jpg,CarlaPeck.jpg,,,,,,,
2026-04-30,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Salad Night,,,,,,
2026-05-07,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Mothers’ Day Dance,,,,,,
2026-05-14,solosteppers.png,GarySmith.jpg,GarySmith.jpg,,,,,,,
2026-05-21,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Cinco De Mayo Fiesta,,,,,,
2026-05-28,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-06-04,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-06-11,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Gospel Night,,,,,,
2026-06-18,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Fathers Day Dance,,,,,,
2026-06-25,solosteppers.png,TomKathyNickle.jpg,TomKathyNickle.jpg,,,,,,,
2026-07-09,solosteppers.png,JimWilliams.webp,,,,,,,,MP
2026-07-16,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Pizza Party,,,,,,
2026-07-30,solosteppers.png,sprosty.jpg,DougSprosty.jpg,,,,,,,
2026-08-13,solosteppers.png,DonSeaman.jpg,,,,,,,,MP
2026-08-20,solosteppers.png,CurtBraffet.webp,,,,,,,,MP
2026-08-27,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Food Pantry Collection,,,,,,
2026-09-03,solosteppers.png,DougMcCart.webp,,,,,,,,MP
2026-09-10,solosteppers.png,BarryPeck.jpg,CarlaPeck.jpg,,,,,,,
2026-09-17,solosteppers.png,sprosty.jpg,DougSprosty.jpg,Root Beer Float Night,,,,,,
