Photo (key),name,website
robinson.jpg,Maryann Robinson,
manning.jpg,Tom Manning,https://www.tom-manning.com/
GarySmith.jpg,Gary Smith,
sprosty.jpg,Don & Doug Sprosty,https://sprostytwins.com/
DougMcCart.webp,Doug McCart,https://www.dougmccart.com/
BarryPeck.jpg,Barry Peck,https://www.youtube.com/c/Barrypeckmusic/videos
CarlaPeck.jpg,Carla Peck,
JCM.webp,JCM Lines,https://www.facebook.com/watch/?v=698873289295484
Schneiders.jpg,Ed & Pat Schneiders,
ConnieGraham.jpg,Connie Graham,https://www.wesquaredance.com/LynnNelson/MINK/History.php
AmySwift.jpg,Amy Swift,
KenardSwift.webp,Kenard Swift,https://www.squaredancene.org/callcuer/kswift/
hogan.jpg,Mike Hogan,https://mikehogancaller.com/
BryanBush.webp,Bryan Bush,https://www.squaredancene.org/callcuer/bush/
JimWilliams.webp,Jim Williams,
jack_o_leary.jpg,Jack O’Leary,https://www.ceder.net/recorddb/artist_viewsingle.php?RecordId=20
Dan-Sahlstrom.webp,Dan Sahlstrom,https://dansahlstrom.com/
ChuckVeldhuizen.jpg,Chuck Veldhuizen,https://www.ceder.net/recorddb/artist_viewsingle.php?RecordId=849
chris_wildhagen.jpg,Chris Wildhagen,https://www.ceder.net/callerdb/viewsingle.php?RecordId=2136
Waterhouse.jpeg,Lyle Waterhouse,https://squaredancene.org/callcuer/waterhouse/
DonBoyer.jpg,Don Boyer,https://www.wesquaredance.com/Contact/BoyerDonJolett.php
DonSeaman.jpg,Don Seaman,https://www.ilsdc.dance/team/don-seaman
Kuhle.jpg,Jim Kuhle,http://iowasquaredance.net/merry-rounders-round-dance-club/
TomKathyNickle.jpg,Tom & Kathy Nickle,https://73nsdc.com/about-us/73rd-team-members/tom-and-kathy-nickel/
CurtBraffet.webp,Curt Braffet,https://curtbraffet.com/
BarryJohnson.jpg,Barry Johnson,https://www.ilsdc.dance/team/barry-johnson
DanPreedy.jpg,Dan Preedy,https://www.squaredancespokane.org/spokane-area-callers-cuers
jesseMillspaugh.jpg,Jenne Millspaugh,https://www.squaredancene.org/callcuer/millspaugh/
DennisThompson.jpg,Dennis Thompson,https://www.facebook.com/dennis.thompson.56/photos/
BobAsp.jpg,Bob Asp,https://www.ilsdc.dance/team-2/bob-asp
Tannehille.jpg,Romney Tannehille,https://www.romneytannehill.com/
MINK.webp,M I N K Ladies,https://www.wesquaredance.com/LynnNelson/MINK/
weaklend.jpg,Lanny Weaklend,https://www.squaredancene.org/callcuer/weaklend/
JerryJunck.jpg,Jerry Junck,https://www.wesquaredance.com/JerryJunck/JerryJunck.jpg
stairs.jpg,Ron & Norma Stairs,https://www.squaredancene.org/callcuer/stairs/
brianfreed.png,Brian Freed,https://callerbrian.com/
sullivan.jpg,Kenton Sullivan,https://www.squaredancemissouri.com/Missouri/History/CallerHallOfFame/SullivanKenton/
LeroyConrad.jpg,Leroy Conrad,https://www.squaredancemissouri.com/Missouri/History/CallerHallOfFame/ConradLeroy/
DaveRoush.jpg,Dave Roush,https://www.squaredancemissouri.com/Missouri/History/CallerHallOfFame/RoushDave/index.pdf
Trowbridge.jpg,Ray Trowbridge,https://www.wesquaredance.com/HOA/Club_Pages/Pistols_N_Petticoats/
