,documenting columns,,,,,club icon,geo,directions,caller photo,cuer photo,contact,cost
,SATURDAY,,10 May 2025,,,,,,,,,
*,Ankeny Squares,ML,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Jack O’Leary / JCM Lines,7:00 - 9:30,ankeny_logo.jpg,"42.5234,-92.4416",ankeny.txt,,JCM.jpg,,
,FRIDAY,,30 MAY 2025,,,,,,,,,
NE,test club,MPR,"Ankeny Android Laboratory, 1609 SW Franklin Dr., Ankeny",Doug McCart / JCM,12 - 14:30 Test dance,ankeny_logo.jpg,"40.0, -91.0",ankeny.txt,manning.png,JCM.jpg,Jim 515,$1.23
,,,,,,,,,,,,
NE,Circulators,MPR,"Cedar Falls Rec Center, 110 E 13th St., Cedar Falls",Jim Williams,12 - 14:30 Fiesta Night,,"42.5267404,-92.4443272",CedarFalls.txt,,,,
SE,Dudes 'n' Dolls,P,"1st Presbyterian Church, 228 W 4th St., Ottumwa",Bob Asp,7:30 - 10 All Plus,,"41.0209343,-92.4136258",Otumwa.txt,,,,
SE,Petticoats Junction,MP,"Humeston Community Center, 100 N Eaton, Humeston",Dan Preedy,7- 9:30 Spring Fling,,"40.859259, -93.497996",Humeston.txt,,,,
,SATURDAY,,31 MAY,,Spring Fling Day 2,,,,,,,
SE,Petticoats Junction,,"Humeston Community Center, 100 N Eaton, Humeston",Doug McCart, 1:00 workshop  6PM meal 7:00 dance,,"40.859259, -93.497996",Humeston.txt,DougMcCart.webp,,,
,TUESDAY,,3 JUNE,,,,,,,,,
SE,Circle Sq B Promen.,M,"IOOF Hall, Wever",Tom Manning,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,4 JUNE,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., Example address 3, E Moline IL",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,5 JUNE,,,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd St., Davenport",Don & Doug Sprosty/Doug,7-9:30 Gospel Night,,"41.5745758,-90.5781588",HopeChurch.txt,sprosty.jpg,,,
QC,Acey Duceys,A2,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 9:00,,"41.5550615,-90.5455025",EdwardsChurch.txt,manning.png,,,
,FRIDAY,,6 JUNE,,,,,,,,,
SE,Dudes 'n' Dolls,MP,"1st Presbyterian Church, 228 W 4th St., Ottumwa",Brad Neutz,7:00 - 9:30,,"41.0209343,-92.4136258",Otumwa.txt,,,,
,SATURDAY,,7  JUNE,,,,,,,,,
*,Ankeny Squares,MPR,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Tom Manning/Carla Peck,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,manning.png,CarlaPeck.jpg,,
SE,Lads & Lassies,MP,"ISU Extension Ctr, 210 N Iowa St, Knoxville",Brad Neutz,7:00 - 9:30,,"41.320195, -93.106079",Knoxville.txt,,,,
,TUESDAY,,10  JUNE,,,,,,,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Barry Peck,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,BarryPeck.jpg,,,
,WEDNESDAY,,11  JUNE,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,12  JUNE,,,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd St, Davenport",Don & Doug Sprosty/Doug,7:00 - 9:30 Fathers’ Day,,"41.5745758,-90.5781588",HopeChurch.txt,sprosty.jpg,,,
,SATURDAY,,14  JUNE,,,,,,,,,
*,Creston Union Sq.,MP,Marvin Eivin's Farm - Machine Shed Dance,Fred Grow/Doug McCart,6PM meal 7:00 dance,,,,DougMcCart.webp,,,
NE,Stardusters,MPR,"Smith's Dancing Meadows, 1503 190th St., Waverly",Gary Smith,7 - 9:30 Strawberry Night,,"42.774539, -92.454649",Waverly.txt,GarySmith.jpg,,,
,SUNDAY,,15  JUNE,,,,,,,,,
QC,Morrison Grand Sq.,MP,"Odell Library ComRoom,307 S Madison,Morrison,IL  ",Curt Braffet,2:00 - 4:30,,,,,,,
,TUESDAY,,17  JUNE,,,,,,,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Tom Manning,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,18  JUNE,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline IL",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
QC,Acey Duceys,A2,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 9:00,,"41.5550615,-90.5455025",EdwardsChurch.txt,manning.png,,,
,THURSDAY,,19 JUNE,,,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd St, Davenport",Don & Doug Sprosty/Don,7:00 - 9:30,,"41.5745758,-90.5781588",HopeChurch.txt,sprosty.jpg,,,
,FRIDAY,,20 JUNE,,,,,,,,,
QC,Wheel N Steppers,,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Doug McCart,7:00 - 9:30,,"41.5550615,-90.5455025",EdwardsChurch.txt,DougMcCart.webp,,,
,SAT-MONDAY,,21-23 JUNE,,No Dances,,,,,,,
,TUESDAY,,24 JUNE,,,,,,,,,
